Company,Country
Meta Platforms,USA
KKR,USA
IBM (International Business Machines Corporation),USA
Illinois Tool Works,USA
Cadila Healthcare,India
Indiabulls Housing Finance,India
Northern Trust,USA
MGM Resorts International,USA
Citizens Financial Group,USA
Intercontinental Exchange,USA
Bharti Infratel,India
Santos Limited,Australia
Darden Restaurants,USA
Insurance Australia Group (IAG),Australia
Discover Financial Services,USA
Halma,UK
SSE plc,UK
Rolls-Royce Holdings,UK
Associated British Foods,UK
Magellan Financial Group,Australia
E.ON SE,Germany
Expedia Group,USA
Ryder System,USA
Wesfarmers Limited,Australia
PPG Industries,USA
Godrej Consumer Products Limited,India
Bath & Body Works,USA
GXO Logistics,USA
InterContinental Hotels Group,UK
Ecolab,USA
Huntington Ingalls Industries,USA
LKQ,USA
Consolidated Edison,USA
Morrison Supermarkets,UK
Titan Company,India
National Australia Bank (NAB),Australia
Polaris,USA
International Business Machines,USA
Infosys,India
AstraZeneca,UK
"Facebook, Inc. (now Meta Platforms, Inc.)",USA
Carvana,USA
Royal Dutch Shell,Netherlands
Peter Kiewit Sons,USA
ConocoPhillips,USA
Fidelity National Financial,USA
United Airlines Holdings,USA
Weir Group,UK
Grasim Industries,India
Disney+,USA
Bed Bath & Beyond,USA
Devon Energy,USA
Deutsche Bahn AG,Germany
Avnet,USA
Western Union Company,USA
BASF SE,Germany
Reliance Industries Limited,India
United Breweries (UB),India
